transaction_id,merchant_id,customer_id,amount,currency,payment_status,payment_method,payment_timestamp
TXN000001,MER001,CUS001,859.00,INR,SUCCESS,CREDIT_CARD,2026-08-03T01:38:36+00:00
TXN000002,MER005,CUS014,132.00,INR,SUCCESS,CREDIT_CARD,2026-08-04T04:46:02+00:00
TXN000003,MER005,CUS007,3661.00,INR,SUCCESS,DEBIT_CARD,2026-08-04T01:12:28+00:00
TXN000004,MER001,CUS025,1653.00,INR,SUCCESS,UPI,2026-08-04T17:56:09+00:00
TXN000005,MER003,CUS004,2556.00,INR,SUCCESS,DEBIT_CARD,2026-08-05T13:11:03+00:00
TXN000006,MER001,CUS024,3196.00,INR,SUCCESS,DEBIT_CARD,2026-08-02T07:57:07+00:00
TXN000007,MER005,CUS029,982.00,INR,SUCCESS,UPI,2026-08-02T05:15:33+00:00
TXN000008,MER003,CUS003,1953.00,INR,SUCCESS,DEBIT_CARD,2026-08-04T17:57:56+00:00
TXN000009,MER002,CUS012,9374.00,INR,SUCCESS,UPI,2026-08-02T05:47:50+00:00
TXN000010,MER005,CUS024,1669.00,INR,SUCCESS,UPI,2026-08-04T15:37:40+00:00
TXN000011,MER003,CUS027,886.00,INR,SUCCESS,NET_BANKING,2026-08-01T18:20:59+00:00
TXN000012,MER003,CUS003,14292.00,INR,SUCCESS,NET_BANKING,2026-08-05T04:39:23+00:00
TXN000013,MER004,CUS029,2879.00,INR,SUCCESS,DEBIT_CARD,2026-08-03T01:40:13+00:00
TXN000014,MER005,CUS014,697.00,INR,SUCCESS,NET_BANKING,2026-08-03T01:17:31+00:00
TXN000015,MER001,CUS025,148.00,INR,SUCCESS,NET_BANKING,2026-08-03T07:35:53+00:00
TXN000016,MER005,CUS003,2563.00,INR,SUCCESS,CREDIT_CARD,2026-08-07T19:06:56+00:00
TXN000017,MER001,CUS022,9371.00,INR,SUCCESS,DEBIT_CARD,2026-08-05T12:04:59+00:00
TXN000018,MER004,CUS006,9315.00,INR,SUCCESS,CREDIT_CARD,2026-08-03T13:02:10+00:00
TXN000019,MER003,CUS027,754.00,INR,SUCCESS,UPI,2026-08-03T05:31:03+00:00
TXN000020,MER005,CUS025,5009.00,INR,SUCCESS,CREDIT_CARD,2026-08-05T07:25:02+00:00
TXN000021,MER001,CUS030,471.00,INR,SUCCESS,CREDIT_CARD,2026-08-02T01:52:18+00:00
TXN000022,MER001,CUS024,6133.00,INR,SUCCESS,NET_BANKING,2026-08-02T21:37:49+00:00
TXN000023,MER005,CUS006,3161.00,INR,SUCCESS,UPI,2026-08-03T22:41:26+00:00
TXN000024,MER003,CUS013,3661.00,INR,SUCCESS,CREDIT_CARD,2026-08-07T15:45:17+00:00
TXN000025,MER002,CUS008,5344.00,INR,SUCCESS,UPI,2026-08-08T02:20:28+00:00
TXN000026,MER001,CUS003,824.00,INR,SUCCESS,DEBIT_CARD,2026-08-02T04:37:54+00:00
TXN000027,MER001,CUS017,343.00,INR,SUCCESS,NET_BANKING,2026-08-07T22:03:47+00:00
TXN000028,MER002,CUS026,584.00,INR,SUCCESS,NET_BANKING,2026-08-02T12:28:27+00:00
TXN000029,MER003,CUS014,5887.00,INR,SUCCESS,NET_BANKING,2026-08-02T13:39:58+00:00
TXN000030,MER003,CUS026,982.00,INR,SUCCESS,NET_BANKING,2026-08-03T16:24:08+00:00
TXN000031,MER002,CUS014,287.00,INR,SUCCESS,CREDIT_CARD,2026-08-02T06:57:26+00:00
TXN000032,MER001,CUS021,653.00,INR,SUCCESS,NET_BANKING,2026-08-04T05:51:01+00:00
TXN000033,MER004,CUS016,318.00,INR,SUCCESS,CREDIT_CARD,2026-08-03T08:57:14+00:00
TXN000034,MER004,CUS009,4215.00,INR,SUCCESS,NET_BANKING,2026-08-06T12:12:35+00:00
TXN000035,MER002,CUS007,5958.00,INR,SUCCESS,DEBIT_CARD,2026-08-07T22:55:32+00:00
TXN000036,MER001,CUS002,13238.00,INR,SUCCESS,CREDIT_CARD,2026-08-03T06:51:20+00:00
TXN000037,MER002,CUS003,1278.00,INR,SUCCESS,UPI,2026-08-02T19:55:10+00:00
TXN000038,MER005,CUS020,3536.00,INR,SUCCESS,DEBIT_CARD,2026-08-08T05:38:03+00:00
TXN000039,MER003,CUS007,785.00,INR,SUCCESS,UPI,2026-08-04T14:21:57+00:00
TXN000040,MER003,CUS015,423.00,INR,SUCCESS,CREDIT_CARD,2026-08-06T22:29:07+00:00
TXN000041,MER001,CUS018,318.00,INR,SUCCESS,UPI,2026-08-05T14:39:22+00:00
TXN000042,MER003,CUS010,13900.00,INR,SUCCESS,CREDIT_CARD,2026-08-05T01:06:52+00:00
TXN000043,MER005,CUS010,1424.00,INR,SUCCESS,UPI,2026-08-02T18:37:15+00:00
TXN000044,MER003,CUS010,719.00,INR,SUCCESS,NET_BANKING,2026-08-04T13:53:27+00:00
TXN000045,MER003,CUS029,6512.00,INR,SUCCESS,CREDIT_CARD,2026-08-06T12:22:31+00:00
TXN000046,MER001,CUS011,889.00,INR,SUCCESS,NET_BANKING,2026-08-06T17:41:38+00:00
TXN000047,MER005,CUS001,7442.00,INR,SUCCESS,UPI,2026-08-01T19:29:38+00:00
TXN000048,MER004,CUS005,142.00,INR,SUCCESS,UPI,2026-08-05T17:13:10+00:00
TXN000049,MER001,CUS012,11658.00,INR,SUCCESS,UPI,2026-08-03T06:01:00+00:00
TXN000050,MER002,CUS029,7938.00,INR,SUCCESS,UPI,2026-08-05T09:45:21+00:00
TXN000051,MER003,CUS006,1000.00,INR,SUCCESS,CREDIT_CARD,2026-08-01T20:16:45+00:00
TXN000052,MER002,CUS007,8000.00,INR,SUCCESS,CREDIT_CARD,2026-08-05T01:53:35+00:00
TXN000053,MER002,CUS001,2500.00,INR,SUCCESS,CREDIT_CARD,2026-08-05T08:36:47+00:00
TXN000054,MER001,CUS025,5000.00,INR,SUCCESS,CREDIT_CARD,2026-08-07T13:22:30+00:00
TXN000055,MER005,CUS011,1000.00,INR,SUCCESS,CREDIT_CARD,2026-08-04T13:05:03+00:00
TXN000056,MER005,CUS009,1000.00,INR,SUCCESS,CREDIT_CARD,2026-08-06T15:34:33+00:00
TXN000057,MER003,CUS014,10000.00,INR,SUCCESS,CREDIT_CARD,2026-08-06T01:11:46+00:00
TXN000058,MER002,CUS009,1000.00,INR,SUCCESS,CREDIT_CARD,2026-08-01T09:29:33+00:00
TXN000059,MER005,CUS022,2500.00,INR,SUCCESS,CREDIT_CARD,2026-08-06T14:37:28+00:00
TXN000060,MER003,CUS020,5000.00,INR,SUCCESS,CREDIT_CARD,2026-08-05T00:28:30+00:00
TXN000061,MER003,CUS022,11592.00,INR,SUCCESS,UPI,2026-08-04T23:06:56+00:00
TXN000062,MER002,CUS007,11211.00,INR,SUCCESS,UPI,2026-08-03T11:41:20+00:00
TXN000063,MER005,CUS010,3244.00,INR,SUCCESS,UPI,2026-08-04T20:34:10+00:00
TXN000064,MER004,CUS026,3484.00,INR,SUCCESS,UPI,2026-08-06T17:40:46+00:00
TXN000065,MER002,CUS017,7780.00,INR,SUCCESS,UPI,2026-08-02T09:41:54+00:00
TXN000066,MER005,CUS022,748.00,INR,SUCCESS,UPI,2026-08-04T05:24:37+00:00
TXN000067,MER003,CUS008,925.00,INR,SUCCESS,UPI,2026-08-01T22:27:38+00:00
TXN000068,MER004,CUS020,4147.00,INR,SUCCESS,UPI,2026-08-06T09:42:52+00:00
TXN000069,MER005,CUS007,3852.00,INR,SUCCESS,UPI,2026-08-06T05:24:26+00:00
TXN000070,MER002,CUS021,1022.00,INR,SUCCESS,UPI,2026-08-04T00:44:31+00:00
TXN000071,MER005,CUS015,151.00,INR,SUCCESS,UPI,2026-08-06T21:57:14+00:00
TXN000072,MER004,CUS022,3289.00,INR,SUCCESS,NET_BANKING,2026-08-06T17:54:31+00:00
TXN000073,MER005,CUS015,4046.00,INR,SUCCESS,UPI,2026-08-04T12:29:42+00:00
TXN000074,MER003,CUS025,12939.00,INR,SUCCESS,DEBIT_CARD,2026-08-04T06:41:07+00:00
TXN000075,MER004,CUS003,2170.00,INR,SUCCESS,DEBIT_CARD,2026-08-05T10:49:21+00:00
TXN000076,MER005,CUS003,1617.00,INR,SUCCESS,UPI,2026-08-03T05:30:27+00:00
TXN000077,MER004,CUS024,269.00,INR,SUCCESS,NET_BANKING,2026-08-07T20:34:29+00:00
TXN000078,MER004,CUS019,677.00,INR,SUCCESS,NET_BANKING,2026-08-06T13:50:33+00:00
TXN000079,MER004,CUS006,2065.00,INR,SUCCESS,NET_BANKING,2026-08-03T22:39:01+00:00
TXN000080,MER003,CUS011,4603.00,INR,SUCCESS,NET_BANKING,2026-08-06T11:47:22+00:00
TXN000081,MER001,CUS016,119.00,INR,SUCCESS,NET_BANKING,2026-08-05T14:56:00+00:00
TXN000082,MER001,CUS025,767.00,INR,SUCCESS,NET_BANKING,2026-08-03T19:04:04+00:00
TXN000083,MER005,CUS005,10000.00,INR,SUCCESS,BANK_TRANSFER,2026-08-04T06:28:52+00:00
TXN000084,MER004,CUS022,10000.00,INR,SUCCESS,BANK_TRANSFER,2026-08-02T18:19:06+00:00
TXN000085,MER002,CUS015,10000.00,INR,SUCCESS,BANK_TRANSFER,2026-08-04T11:38:10+00:00
TXN000086,MER002,CUS020,10000.00,INR,SUCCESS,BANK_TRANSFER,2026-08-02T18:21:36+00:00
TXN000087,MER003,CUS004,10000.00,INR,SUCCESS,BANK_TRANSFER,2026-08-01T16:28:45+00:00
TXN000088,MER005,CUS022,484.00,INR,SUCCESS,CREDIT_CARD,2026-08-04T07:44:06+00:00
TXN000089,MER001,CUS023,891.00,INR,SUCCESS,CREDIT_CARD,2026-08-08T05:50:23+00:00
TXN000090,MER001,CUS012,645.00,INR,SUCCESS,CREDIT_CARD,2026-08-07T12:22:18+00:00
TXN000091,MER003,CUS001,969.00,INR,SUCCESS,CREDIT_CARD,2026-08-06T15:16:22+00:00
TXN000092,MER003,CUS021,2883.00,INR,SUCCESS,CREDIT_CARD,2026-08-03T12:18:12+00:00
TXN000093,MER005,CUS021,4000.00,INR,REFUNDED,UPI,2026-08-07T21:45:15+00:00
TXN000094,MER004,CUS015,4000.00,INR,REFUNDED,UPI,2026-08-04T15:10:33+00:00
TXN000095,MER003,CUS028,2000.00,INR,REFUNDED,UPI,2026-08-02T10:14:32+00:00
TXN000096,MER003,CUS029,4000.00,INR,REFUNDED,UPI,2026-08-04T08:01:49+00:00
TXN000097,MER004,CUS019,6000.00,INR,REFUNDED,UPI,2026-08-05T23:23:19+00:00
TXN000098,MER003,CUS001,4000.00,INR,REFUNDED,UPI,2026-08-05T07:40:02+00:00
TXN000099,MER002,CUS016,5000.00,INR,PARTIALLY_REFUNDED,CREDIT_CARD,2026-08-03T22:47:03+00:00
TXN000100,MER003,CUS026,5000.00,INR,PARTIALLY_REFUNDED,CREDIT_CARD,2026-08-04T12:15:02+00:00
TXN000101,MER003,CUS009,5000.00,INR,PARTIALLY_REFUNDED,CREDIT_CARD,2026-08-04T17:28:08+00:00
TXN000102,MER005,CUS001,5000.00,INR,PARTIALLY_REFUNDED,CREDIT_CARD,2026-08-07T15:28:42+00:00
TXN000103,MER002,CUS003,5000.00,INR,PARTIALLY_REFUNDED,CREDIT_CARD,2026-08-04T07:18:00+00:00
TXN000104,MER004,CUS016,5000.00,INR,PARTIALLY_REFUNDED,CREDIT_CARD,2026-08-08T02:42:24+00:00
TXN000105,MER002,CUS023,1000.00,INR,SUCCESS,UPI,2026-08-07T07:57:43+00:00
TXN000106,MER004,CUS026,1000.00,INR,SUCCESS,UPI,2026-08-02T12:06:13+00:00
TXN000107,MER003,CUS008,1000.00,INR,SUCCESS,UPI,2026-08-04T07:52:03+00:00
TXN000108,MER003,CUS022,1000.00,INR,SUCCESS,UPI,2026-08-07T02:50:49+00:00
TXN000109,MER005,CUS017,1000.00,INR,SUCCESS,UPI,2026-08-06T12:56:13+00:00
TXN000110,MER005,CUS011,1000.00,INR,SUCCESS,UPI,2026-08-06T21:09:46+00:00
TXN000111,MER001,CUS009,5000.00,INR,SUCCESS,CREDIT_CARD,2026-08-01T19:00:00+00:00
TXN000112,MER001,CUS010,5000.00,INR,SUCCESS,CREDIT_CARD,2026-08-01T19:00:00+00:00
TXN000113,MER001,CUS009,5000.00,INR,SUCCESS,CREDIT_CARD,2026-08-01T19:00:00+00:00
TXN000114,MER001,CUS008,5000.00,INR,SUCCESS,CREDIT_CARD,2026-08-01T19:00:00+00:00
