refund_id,transaction_id,refund_amount,refund_status,refund_timestamp
REF000001,TXN000093,4000.00,PROCESSED,2026-08-09T09:45:15+00:00
REF000002,TXN000094,4000.00,PROCESSED,2026-08-06T03:10:33+00:00
REF000003,TXN000095,2000.00,PROCESSED,2026-08-03T22:14:32+00:00
REF000004,TXN000096,4000.00,PROCESSED,2026-08-05T20:01:49+00:00
REF000005,TXN000097,6000.00,PROCESSED,2026-08-07T11:23:19+00:00
REF000006,TXN000098,4000.00,PROCESSED,2026-08-06T19:40:02+00:00
REF000007,TXN000099,2000.00,PROCESSED,2026-08-04T22:47:03+00:00
REF000008,TXN000100,2000.00,PROCESSED,2026-08-05T12:15:02+00:00
REF000009,TXN000101,2000.00,PROCESSED,2026-08-05T17:28:08+00:00
REF000010,TXN000102,2000.00,PROCESSED,2026-08-08T15:28:42+00:00
REF000011,TXN000103,2000.00,PROCESSED,2026-08-05T07:18:00+00:00
REF000012,TXN000104,2000.00,PROCESSED,2026-08-09T02:42:24+00:00
