settlement_id,transaction_id,merchant_id,settled_amount,currency,settlement_status,settlement_timestamp
SET000001,TXN000001,MER001,859.00,INR,SETTLED,2026-08-03T06:38:36+00:00
SET000002,TXN000002,MER005,132.00,INR,SETTLED,2026-08-04T22:46:02+00:00
SET000003,TXN000003,MER005,3661.00,INR,SETTLED,2026-08-04T17:12:28+00:00
SET000004,TXN000004,MER001,1653.00,INR,SETTLED,2026-08-04T23:56:09+00:00
SET000005,TXN000005,MER003,2556.00,INR,SETTLED,2026-08-06T10:11:03+00:00
SET000006,TXN000006,MER001,3196.00,INR,SETTLED,2026-08-03T02:57:07+00:00
SET000007,TXN000007,MER005,982.00,INR,SETTLED,2026-08-02T08:15:33+00:00
SET000008,TXN000008,MER003,1953.00,INR,SETTLED,2026-08-05T09:57:56+00:00
SET000009,TXN000009,MER002,9374.00,INR,SETTLED,2026-08-03T02:47:50+00:00
SET000010,TXN000010,MER005,1669.00,INR,SETTLED,2026-08-05T13:37:40+00:00
SET000011,TXN000011,MER003,886.00,INR,SETTLED,2026-08-02T06:20:59+00:00
SET000012,TXN000012,MER003,14292.00,INR,SETTLED,2026-08-05T12:39:23+00:00
SET000013,TXN000013,MER004,2879.00,INR,SETTLED,2026-08-03T10:40:13+00:00
SET000014,TXN000014,MER005,697.00,INR,SETTLED,2026-08-03T19:17:31+00:00
SET000015,TXN000015,MER001,148.00,INR,SETTLED,2026-08-04T06:35:53+00:00
SET000016,TXN000016,MER005,2563.00,INR,SETTLED,2026-08-08T05:06:56+00:00
SET000017,TXN000017,MER001,9371.00,INR,SETTLED,2026-08-05T17:04:59+00:00
SET000018,TXN000018,MER004,9315.00,INR,SETTLED,2026-08-04T07:02:10+00:00
SET000019,TXN000019,MER003,754.00,INR,SETTLED,2026-08-03T18:31:03+00:00
SET000020,TXN000020,MER005,5009.00,INR,SETTLED,2026-08-06T00:25:02+00:00
SET000021,TXN000021,MER001,471.00,INR,SETTLED,2026-08-02T10:52:18+00:00
SET000022,TXN000022,MER001,6133.00,INR,SETTLED,2026-08-03T03:37:49+00:00
